ipAddress,baseName,startingIndex,numNodes,ossModelIdentity,nodeType,platformType
10.100.7.1,LTE368,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE369,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE370,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE371,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE372,1,160,5783-904-386,ERBS,CPP
10.100.0.1,LTE373,1,160,5783-904-386,ERBS,CPP
10.100.1.1,LTE374,1,160,5783-904-386,ERBS,CPP
10.100.2.1,LTE375,1,160,5783-904-386,ERBS,CPP
10.100.3.1,LTE376,1,160,5783-904-386,ERBS,CPP
10.100.4.1,LTE377,1,160,5783-904-386,ERBS,CPP
10.100.5.1,LTE378,1,160,5783-904-386,ERBS,CPP
10.100.6.1,LTE379,1,160,5783-904-386,ERBS,CPP
10.100.7.1,LTE380,1,160,5783-904-386,ERBS,CPP
10.100.8.1,LTE381,1,160,5783-904-386,ERBS,CPP
10.100.9.1,LTE382,1,160,5783-904-386,ERBS,CPP
10.100.10.1,LTE383,1,160,5783-904-386,ERBS,CPP
10.100.11.1,LTE384,1,160,5783-904-386,ERBS,CPP
