fdn,attributes
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2,EUtranFreqRelation=1,EUtranCellRelation=2","EUtranCellRelationId=2,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2,EUtranFreqRelation=1,EUtranCellRelation=3","EUtranCellRelationId=3,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3,EUtranFreqRelation=1,EUtranCellRelation=1","EUtranCellRelationId=1,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3,EUtranFreqRelation=1,EUtranCellRelation=2","EUtranCellRelationId=2,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3,EUtranFreqRelation=1,EUtranCellRelation=3","EUtranCellRelationId=3,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4,EUtranFreqRelation=1,EUtranCellRelation=1","EUtranCellRelationId=1,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test2"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4,EUtranFreqRelation=1,EUtranCellRelation=2","EUtranCellRelationId=2,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test3"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test4,EUtranFreqRelation=1,EUtranCellRelation=3","EUtranCellRelationId=3,neighborCellRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtranCellFDD=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00050","ExternalENodeBFunctionId=LTE01ERBS00050,eNBId=50,masterEnbFunctionId=50,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00051","ExternalENodeBFunctionId=LTE01ERBS00051,eNBId=51,masterEnbFunctionId=51,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00052","ExternalENodeBFunctionId=LTE01ERBS00052,eNBId=52,masterEnbFunctionId=52,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00053","ExternalENodeBFunctionId=LTE01ERBS00053,eNBId=53,masterEnbFunctionId=53,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00054","ExternalENodeBFunctionId=LTE01ERBS00054,eNBId=54,masterEnbFunctionId=54,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00055","ExternalENodeBFunctionId=LTE01ERBS00055,eNBId=55,masterEnbFunctionId=55,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00056","ExternalENodeBFunctionId=LTE01ERBS00056,eNBId=56,masterEnbFunctionId=56,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00057","ExternalENodeBFunctionId=LTE01ERBS00057,eNBId=57,masterEnbFunctionId=57,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00058","ExternalENodeBFunctionId=LTE01ERBS00058,eNBId=58,masterEnbFunctionId=58,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00059","ExternalENodeBFunctionId=LTE01ERBS00059,eNBId=59,masterEnbFunctionId=59,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00060","ExternalENodeBFunctionId=LTE01ERBS00060,eNBId=60,masterEnbFunctionId=60,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00061","ExternalENodeBFunctionId=LTE01ERBS00061,eNBId=61,masterEnbFunctionId=61,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00062","ExternalENodeBFunctionId=LTE01ERBS00062,eNBId=62,masterEnbFunctionId=62,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00063","ExternalENodeBFunctionId=LTE01ERBS00063,eNBId=63,masterEnbFunctionId=63,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00064","ExternalENodeBFunctionId=LTE01ERBS00064,eNBId=64,masterEnbFunctionId=64,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00065","ExternalENodeBFunctionId=LTE01ERBS00065,eNBId=65,masterEnbFunctionId=65,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00066","ExternalENodeBFunctionId=LTE01ERBS00066,eNBId=66,masterEnbFunctionId=66,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00067","ExternalENodeBFunctionId=LTE01ERBS00067,eNBId=67,masterEnbFunctionId=67,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00068","ExternalENodeBFunctionId=LTE01ERBS00068,eNBId=68,masterEnbFunctionId=68,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00069","ExternalENodeBFunctionId=LTE01ERBS00069,eNBId=69,masterEnbFunctionId=69,eNodeBPlmnId=(mcc=001,mnc=01,mncLength=2)"
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00050,ExternalEUtranCellFDD=LTE01ERBS00050-1","ExternalEUtranCellFDDId=LTE01ERBS00050-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00050,ExternalEUtranCellFDD=LTE01ERBS00050-2","ExternalEUtranCellFDDId=LTE01ERBS00050-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00050,ExternalEUtranCellFDD=LTE01ERBS00050-3","ExternalEUtranCellFDDId=LTE01ERBS00050-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00050,ExternalEUtranCellFDD=LTE01ERBS00050-4","ExternalEUtranCellFDDId=LTE01ERBS00050-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00051,ExternalEUtranCellFDD=LTE01ERBS00051-1","ExternalEUtranCellFDDId=LTE01ERBS00051-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00051,ExternalEUtranCellFDD=LTE01ERBS00051-2","ExternalEUtranCellFDDId=LTE01ERBS00051-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00051,ExternalEUtranCellFDD=LTE01ERBS00051-3","ExternalEUtranCellFDDId=LTE01ERBS00051-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00051,ExternalEUtranCellFDD=LTE01ERBS00051-4","ExternalEUtranCellFDDId=LTE01ERBS00051-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00052,ExternalEUtranCellFDD=LTE01ERBS00052-1","ExternalEUtranCellFDDId=LTE01ERBS00052-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00052,ExternalEUtranCellFDD=LTE01ERBS00052-2","ExternalEUtranCellFDDId=LTE01ERBS00052-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00052,ExternalEUtranCellFDD=LTE01ERBS00052-3","ExternalEUtranCellFDDId=LTE01ERBS00052-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00052,ExternalEUtranCellFDD=LTE01ERBS00052-4","ExternalEUtranCellFDDId=LTE01ERBS00052-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00053,ExternalEUtranCellFDD=LTE01ERBS00053-1","ExternalEUtranCellFDDId=LTE01ERBS00053-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00053,ExternalEUtranCellFDD=LTE01ERBS00053-2","ExternalEUtranCellFDDId=LTE01ERBS00053-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00053,ExternalEUtranCellFDD=LTE01ERBS00053-3","ExternalEUtranCellFDDId=LTE01ERBS00053-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00053,ExternalEUtranCellFDD=LTE01ERBS00053-4","ExternalEUtranCellFDDId=LTE01ERBS00053-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00054,ExternalEUtranCellFDD=LTE01ERBS00054-1","ExternalEUtranCellFDDId=LTE01ERBS00054-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00054,ExternalEUtranCellFDD=LTE01ERBS00054-2","ExternalEUtranCellFDDId=LTE01ERBS00054-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00054,ExternalEUtranCellFDD=LTE01ERBS00054-3","ExternalEUtranCellFDDId=LTE01ERBS00054-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00054,ExternalEUtranCellFDD=LTE01ERBS00054-4","ExternalEUtranCellFDDId=LTE01ERBS00054-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00055,ExternalEUtranCellFDD=LTE01ERBS00055-1","ExternalEUtranCellFDDId=LTE01ERBS00055-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00055,ExternalEUtranCellFDD=LTE01ERBS00055-2","ExternalEUtranCellFDDId=LTE01ERBS00055-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00055,ExternalEUtranCellFDD=LTE01ERBS00055-3","ExternalEUtranCellFDDId=LTE01ERBS00055-3,physicalLayerSubCellId=0,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00055,ExternalEUtranCellFDD=LTE01ERBS00055-4","ExternalEUtranCellFDDId=LTE01ERBS00055-4,physicalLayerSubCellId=1,localCellId=4,tac=1,physicalLayerCellIdGroup=104,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00056,ExternalEUtranCellFDD=LTE01ERBS00056-1","ExternalEUtranCellFDDId=LTE01ERBS00056-1,physicalLayerSubCellId=1,localCellId=1,tac=1,physicalLayerCellIdGroup=101,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00056,ExternalEUtranCellFDD=LTE01ERBS00056-2","ExternalEUtranCellFDDId=LTE01ERBS00056-2,physicalLayerSubCellId=2,localCellId=2,tac=1,physicalLayerCellIdGroup=102,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
"SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,ExternalENodeBFunction=LTE01ERBS00056,ExternalEUtranCellFDD=LTE01ERBS00056-3","ExternalEUtranCellFDDId=LTE01ERBS00056-3,physicalLayerSubCellId=1,localCellId=3,tac=1,physicalLayerCellIdGroup=103,eutranFrequencyRef=""SubNetwork=LTE01,MeContext=LTE01ERBS00160,ManagedElement=1,ENodeBFunction=1,EUtraNetwork=1,EUtranFrequency=test1"""
